campaign_id,campaign_name,campaign_type,primary_objective,budget,start_date,end_date,duration_days,channels,target_audience,communication_strategy,performance_metrics,social_metrics,sentiment_analysis,pr_metrics,brand_impact,roi_metrics
C001,Campaign 1: Brand Awareness,Brand Awareness,Increase Brand Awareness,6191.23,2025-11-08 12:29:37.552517,2025-12-08 12:29:37.552517,30,"[np.str_('Influencer'), np.str_('PR'), np.str_('Content Marketing')]","{'age_min': np.int64(35), 'age_max': np.int64(58), 'gender': np.str_('Mixed'), 'income': np.str_('Low')}","{'primary_message': np.str_('Call-to-Action'), 'tone': np.str_('Empathetic'), 'frequency': np.str_('Weekly')}","{'reach': 37962, 'impressions': 141338, 'engagements': 3285, 'clicks': 1517, 'conversions': 191, 'engagement_rate': 0.023242157098586368, 'click_through_rate': 0.010733136170032121, 'conversion_rate': 0.12590639419907712, 'campaign_id': 'C001', 'campaign_type': np.str_('Brand Awareness'), 'budget': 6191.23, 'roi': 85.5, 'effectiveness_score': 28.9}","{'likes': 1571, 'shares': 426, 'comments': 1083, 'saves': 464}","{'positive': 0.515, 'neutral': 0.365, 'negative': 0.119, 'sentiment_score': 0.396}","{'media_mentions': 22, 'earned_media_value': 11297.24, 'share_of_voice': 0.101}","{'awareness_lift': 10.8, 'favorability_change': 10.0, 'purchase_intent_increase': 14.0}","{'total_value_generated': 11487.23, 'roi_percentage': 85.5, 'effectiveness_score': 28.9}"
C002,Campaign 2: Seasonal Promotion,Seasonal Promotion,Increase Brand Awareness,28742.66,2025-10-17 12:29:37.556098,2025-11-16 12:29:37.556098,30,"[np.str_('Influencer'), np.str_('Social Media'), np.str_('Paid Ads')]","{'age_min': np.int64(25), 'age_max': np.int64(47), 'gender': np.str_('Male'), 'income': np.str_('Low')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Empathetic'), 'frequency': np.str_('Daily')}","{'reach': 40332, 'impressions': 150632, 'engagements': 4728, 'clicks': 3191, 'conversions': 209, 'engagement_rate': 0.031387752934303466, 'click_through_rate': 0.021184077752403208, 'conversion_rate': 0.06549670949545597, 'campaign_id': 'C002', 'campaign_type': np.str_('Seasonal Promotion'), 'budget': 28742.66, 'roi': -19.1, 'effectiveness_score': 13.5}","{'likes': 2053, 'shares': 1334, 'comments': 1012, 'saves': 602}","{'positive': 0.492, 'neutral': 0.154, 'negative': 0.355, 'sentiment_score': 0.137}","{'media_mentions': 18, 'earned_media_value': 35276.68, 'share_of_voice': 0.168}","{'awareness_lift': 15.5, 'favorability_change': 12.2, 'purchase_intent_increase': 12.3}","{'total_value_generated': 23249.45, 'roi_percentage': -19.1, 'effectiveness_score': 13.5}"
C003,Campaign 3: Crisis Management,Crisis Management,Increase Brand Awareness,19467.71,2025-11-29 12:29:37.559540,2025-12-29 12:29:37.559540,30,"[np.str_('Content Marketing'), np.str_('Influencer'), np.str_('PR'), np.str_('Email')]","{'age_min': np.int64(25), 'age_max': np.int64(39), 'gender': np.str_('All'), 'income': np.str_('High')}","{'primary_message': np.str_('Call-to-Action'), 'tone': np.str_('Empathetic'), 'frequency': np.str_('Bi-weekly')}","{'reach': 46125, 'impressions': 176541, 'engagements': 9023, 'clicks': 3019, 'conversions': 201, 'engagement_rate': 0.051109940467086966, 'click_through_rate': 0.01710084343013804, 'conversion_rate': 0.0665783371977476, 'campaign_id': 'C003', 'campaign_type': np.str_('Crisis Management'), 'budget': 19467.71, 'roi': 57.2, 'effectiveness_score': 26.0}","{'likes': 4128, 'shares': 924, 'comments': 2928, 'saves': 1096}","{'positive': 0.457, 'neutral': 0.181, 'negative': 0.363, 'sentiment_score': 0.094}","{'media_mentions': 9, 'earned_media_value': 7935.59, 'share_of_voice': 0.155}","{'awareness_lift': 6.8, 'favorability_change': 7.0, 'purchase_intent_increase': 1.3}","{'total_value_generated': 30608.45, 'roi_percentage': 57.2, 'effectiveness_score': 26.0}"
C004,Campaign 4: Seasonal Promotion,Seasonal Promotion,Engage Audience,9963.79,2025-11-27 12:29:37.564061,2025-12-27 12:29:37.564061,30,"[np.str_('Content Marketing'), np.str_('Paid Ads')]","{'age_min': np.int64(45), 'age_max': np.int64(65), 'gender': np.str_('All'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Friendly'), 'frequency': np.str_('Monthly')}","{'reach': 36925, 'impressions': 93373, 'engagements': 4482, 'clicks': 1727, 'conversions': 205, 'engagement_rate': 0.04800102813447142, 'click_through_rate': 0.01849571075150204, 'conversion_rate': 0.11870295309785756, 'campaign_id': 'C004', 'campaign_type': np.str_('Seasonal Promotion'), 'budget': 9963.79, 'roi': 239.6, 'effectiveness_score': 45.5}","{'likes': 3078, 'shares': 1016, 'comments': 1061, 'saves': 450}","{'positive': 0.45, 'neutral': 0.16, 'negative': 0.39, 'sentiment_score': 0.06}","{'media_mentions': 12, 'earned_media_value': 10503.42, 'share_of_voice': 0.177}","{'awareness_lift': 10.7, 'favorability_change': 6.5, 'purchase_intent_increase': 2.6}","{'total_value_generated': 33833.82, 'roi_percentage': 239.6, 'effectiveness_score': 45.5}"
C005,Campaign 5: CSR Initiative,CSR Initiative,Engage Audience,32203.62,2025-09-16 12:29:37.566932,2025-10-16 12:29:37.566932,30,"[np.str_('PR'), np.str_('Paid Ads'), np.str_('Website'), np.str_('Content Marketing')]","{'age_min': np.int64(25), 'age_max': np.int64(43), 'gender': np.str_('Mixed'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Informational'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Bi-weekly')}","{'reach': 62767, 'impressions': 307290, 'engagements': 8998, 'clicks': 4058, 'conversions': 576, 'engagement_rate': 0.029281785935110157, 'click_through_rate': 0.013205766539750724, 'conversion_rate': 0.14194184327254805, 'campaign_id': 'C005', 'campaign_type': np.str_('CSR Initiative'), 'budget': 32203.62, 'roi': 25.6, 'effectiveness_score': 27.9}","{'likes': 4354, 'shares': 983, 'comments': 3548, 'saves': 650}","{'positive': 0.701, 'neutral': 0.382, 'negative': -0.083, 'sentiment_score': 0.784}","{'media_mentions': 14, 'earned_media_value': 26426.44, 'share_of_voice': 0.146}","{'awareness_lift': 9.3, 'favorability_change': 1.3, 'purchase_intent_increase': 16.6}","{'total_value_generated': 40431.85, 'roi_percentage': 25.6, 'effectiveness_score': 27.9}"
C006,Campaign 6: CSR Initiative,CSR Initiative,Drive Sales,7409.79,2025-09-11 12:29:37.571872,2025-10-11 12:29:37.571872,30,"[np.str_('Content Marketing'), np.str_('Events'), np.str_('Paid Ads'), np.str_('Email')]","{'age_min': np.int64(35), 'age_max': np.int64(46), 'gender': np.str_('Mixed'), 'income': np.str_('All')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Inspirational'), 'frequency': np.str_('Daily')}","{'reach': 71184, 'impressions': 299479, 'engagements': 11727, 'clicks': 8047, 'conversions': 726, 'engagement_rate': 0.03915800440097636, 'click_through_rate': 0.026869997562433426, 'conversion_rate': 0.09021995774822915, 'campaign_id': 'C006', 'campaign_type': np.str_('CSR Initiative'), 'budget': 7409.79, 'roi': 494.7, 'effectiveness_score': 53.5}","{'likes': 7918, 'shares': 3273, 'comments': 3290, 'saves': 651}","{'positive': 0.534, 'neutral': 0.273, 'negative': 0.193, 'sentiment_score': 0.341}","{'media_mentions': 14, 'earned_media_value': 15602.7, 'share_of_voice': 0.242}","{'awareness_lift': 9.3, 'favorability_change': -1.9, 'purchase_intent_increase': 6.1}","{'total_value_generated': 44063.94, 'roi_percentage': 494.7, 'effectiveness_score': 53.5}"
C007,Campaign 7: Crisis Management,Crisis Management,Engage Audience,18283.15,2025-10-29 12:29:37.573080,2025-11-28 12:29:37.573080,30,"[np.str_('PR'), np.str_('Website'), np.str_('Email')]","{'age_min': np.int64(25), 'age_max': np.int64(41), 'gender': np.str_('Mixed'), 'income': np.str_('High')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Professional'), 'frequency': np.str_('Bi-weekly')}","{'reach': 27838, 'impressions': 116286, 'engagements': 6045, 'clicks': 3428, 'conversions': 327, 'engagement_rate': 0.05198390175945514, 'click_through_rate': 0.029479043049034277, 'conversion_rate': 0.09539089848308051, 'campaign_id': 'C007', 'campaign_type': np.str_('Crisis Management'), 'budget': 18283.15, 'roi': 65.1, 'effectiveness_score': 25.0}","{'likes': 4214, 'shares': 1623, 'comments': 2139, 'saves': 629}","{'positive': 0.54, 'neutral': 0.26, 'negative': 0.2, 'sentiment_score': 0.34}","{'media_mentions': 18, 'earned_media_value': 14872.96, 'share_of_voice': 0.187}","{'awareness_lift': 9.8, 'favorability_change': 12.4, 'purchase_intent_increase': 4.8}","{'total_value_generated': 30191.8, 'roi_percentage': 65.1, 'effectiveness_score': 25.0}"
C008,Campaign 8: Product Launch,Product Launch,Engage Audience,26283.2,2025-11-12 12:29:37.573939,2025-12-12 12:29:37.573939,30,"[np.str_('Content Marketing'), np.str_('Social Media'), np.str_('PR'), np.str_('Events')]","{'age_min': np.int64(18), 'age_max': np.int64(35), 'gender': np.str_('Female'), 'income': np.str_('All')}","{'primary_message': np.str_('Emotional'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Weekly')}","{'reach': 57982, 'impressions': 157041, 'engagements': 5603, 'clicks': 3607, 'conversions': 393, 'engagement_rate': 0.03567858075279704, 'click_through_rate': 0.02296852414337657, 'conversion_rate': 0.10895481009148877, 'campaign_id': 'C008', 'campaign_type': np.str_('Product Launch'), 'budget': 26283.2, 'roi': 107.7, 'effectiveness_score': 39.8}","{'likes': 2258, 'shares': 993, 'comments': 1640, 'saves': 301}","{'positive': 0.732, 'neutral': 0.371, 'negative': -0.102, 'sentiment_score': 0.834}","{'media_mentions': 18, 'earned_media_value': 21887.45, 'share_of_voice': 0.236}","{'awareness_lift': 9.8, 'favorability_change': 10.0, 'purchase_intent_increase': 8.3}","{'total_value_generated': 54582.93, 'roi_percentage': 107.7, 'effectiveness_score': 39.8}"
C009,Campaign 9: Brand Awareness,Brand Awareness,Build Community,37521.08,2025-09-11 12:29:37.575751,2025-10-11 12:29:37.575751,30,"[np.str_('Influencer'), np.str_('Website'), np.str_('Events')]","{'age_min': np.int64(25), 'age_max': np.int64(43), 'gender': np.str_('Female'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Call-to-Action'), 'tone': np.str_('Professional'), 'frequency': np.str_('Daily')}","{'reach': 64443, 'impressions': 281501, 'engagements': 18407, 'clicks': 8430, 'conversions': 1050, 'engagement_rate': 0.06538875527973258, 'click_through_rate': 0.029946607649706396, 'conversion_rate': 0.12455516014234876, 'campaign_id': 'C009', 'campaign_type': np.str_('Brand Awareness'), 'budget': 37521.08, 'roi': 58.6, 'effectiveness_score': 35.5}","{'likes': 7380, 'shares': 4331, 'comments': 6725, 'saves': 2409}","{'positive': 0.788, 'neutral': 0.31, 'negative': -0.098, 'sentiment_score': 0.885}","{'media_mentions': 16, 'earned_media_value': 14077.05, 'share_of_voice': 0.065}","{'awareness_lift': 10.0, 'favorability_change': -0.8, 'purchase_intent_increase': 12.8}","{'total_value_generated': 59497.83, 'roi_percentage': 58.6, 'effectiveness_score': 35.5}"
C010,Campaign 10: Seasonal Promotion,Seasonal Promotion,Manage Reputation,49013.16,2025-11-20 12:29:37.578640,2025-12-20 12:29:37.578640,30,"[np.str_('Influencer'), np.str_('PR'), np.str_('Events')]","{'age_min': np.int64(45), 'age_max': np.int64(63), 'gender': np.str_('Mixed'), 'income': np.str_('All')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Monthly')}","{'reach': 75103, 'impressions': 320122, 'engagements': 22362, 'clicks': 9344, 'conversions': 1342, 'engagement_rate': 0.06985461792691536, 'click_through_rate': 0.029188871742648115, 'conversion_rate': 0.14362157534246575, 'campaign_id': 'C010', 'campaign_type': np.str_('Seasonal Promotion'), 'budget': 49013.16, 'roi': 290.7, 'effectiveness_score': 54.7}","{'likes': 11084, 'shares': 3538, 'comments': 8226, 'saves': 3257}","{'positive': 0.498, 'neutral': 0.203, 'negative': 0.299, 'sentiment_score': 0.199}","{'media_mentions': 19, 'earned_media_value': 31318.29, 'share_of_voice': 0.087}","{'awareness_lift': 23.3, 'favorability_change': -1.7, 'purchase_intent_increase': 14.2}","{'total_value_generated': 191498.02, 'roi_percentage': 290.7, 'effectiveness_score': 54.7}"
C011,Campaign 11: Brand Awareness,Brand Awareness,Engage Audience,12413.27,2025-11-17 12:29:37.580335,2025-12-17 12:29:37.580335,30,"[np.str_('Influencer'), np.str_('Website'), np.str_('Events')]","{'age_min': np.int64(35), 'age_max': np.int64(46), 'gender': np.str_('Male'), 'income': np.str_('Low')}","{'primary_message': np.str_('Emotional'), 'tone': np.str_('Professional'), 'frequency': np.str_('Weekly')}","{'reach': 48588, 'impressions': 220409, 'engagements': 10023, 'clicks': 4341, 'conversions': 339, 'engagement_rate': 0.04547454958735805, 'click_through_rate': 0.01969520300895154, 'conversion_rate': 0.07809260539046303, 'campaign_id': 'C011', 'campaign_type': np.str_('Brand Awareness'), 'budget': 12413.27, 'roi': 216.5, 'effectiveness_score': 49.7}","{'likes': 4096, 'shares': 2169, 'comments': 3699, 'saves': 540}","{'positive': 0.579, 'neutral': 0.233, 'negative': 0.188, 'sentiment_score': 0.391}","{'media_mentions': 17, 'earned_media_value': 15117.94, 'share_of_voice': 0.079}","{'awareness_lift': 25.0, 'favorability_change': 4.7, 'purchase_intent_increase': 19.8}","{'total_value_generated': 39286.47, 'roi_percentage': 216.5, 'effectiveness_score': 49.7}"
C012,Campaign 12: CSR Initiative,CSR Initiative,Increase Brand Awareness,7618.66,2025-09-15 12:29:37.585968,2025-10-15 12:29:37.585968,30,"[np.str_('Website'), np.str_('PR')]","{'age_min': np.int64(45), 'age_max': np.int64(63), 'gender': np.str_('Mixed'), 'income': np.str_('High')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Inspirational'), 'frequency': np.str_('Weekly')}","{'reach': 50416, 'impressions': 227957, 'engagements': 5334, 'clicks': 1941, 'conversions': 143, 'engagement_rate': 0.023399149839662743, 'click_through_rate': 0.008514763749303596, 'conversion_rate': 0.07367336424523442, 'campaign_id': 'C012', 'campaign_type': np.str_('CSR Initiative'), 'budget': 7618.66, 'roi': 46.6, 'effectiveness_score': 25.1}","{'likes': 2595, 'shares': 1102, 'comments': 1570, 'saves': 285}","{'positive': 0.49, 'neutral': 0.289, 'negative': 0.221, 'sentiment_score': 0.269}","{'media_mentions': 17, 'earned_media_value': 18194.21, 'share_of_voice': 0.116}","{'awareness_lift': 5.8, 'favorability_change': 9.7, 'purchase_intent_increase': 11.6}","{'total_value_generated': 11170.83, 'roi_percentage': 46.6, 'effectiveness_score': 25.1}"
C013,Campaign 13: Product Launch,Product Launch,Increase Brand Awareness,25809.85,2025-10-13 12:29:37.587162,2025-11-12 12:29:37.587162,30,"[np.str_('Email'), np.str_('Content Marketing'), np.str_('Influencer'), np.str_('Website')]","{'age_min': np.int64(45), 'age_max': np.int64(62), 'gender': np.str_('Female'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Call-to-Action'), 'tone': np.str_('Inspirational'), 'frequency': np.str_('Bi-weekly')}","{'reach': 50249, 'impressions': 216755, 'engagements': 10920, 'clicks': 5638, 'conversions': 682, 'engagement_rate': 0.0503794606814145, 'click_through_rate': 0.026010934003829207, 'conversion_rate': 0.12096488116353317, 'campaign_id': 'C013', 'campaign_type': np.str_('Product Launch'), 'budget': 25809.85, 'roi': 164.9, 'effectiveness_score': 44.5}","{'likes': 4719, 'shares': 1741, 'comments': 3871, 'saves': 1149}","{'positive': 0.541, 'neutral': 0.296, 'negative': 0.163, 'sentiment_score': 0.378}","{'media_mentions': 19, 'earned_media_value': 11577.45, 'share_of_voice': 0.181}","{'awareness_lift': 24.4, 'favorability_change': -2.1, 'purchase_intent_increase': 10.7}","{'total_value_generated': 68357.54, 'roi_percentage': 164.9, 'effectiveness_score': 44.5}"
C014,Campaign 14: Crisis Management,Crisis Management,Manage Reputation,30761.1,2025-11-08 12:29:37.587876,2025-12-08 12:29:37.587876,30,"[np.str_('Content Marketing'), np.str_('Social Media'), np.str_('Paid Ads')]","{'age_min': np.int64(25), 'age_max': np.int64(44), 'gender': np.str_('Male'), 'income': np.str_('All')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Professional'), 'frequency': np.str_('Monthly')}","{'reach': 55715, 'impressions': 160393, 'engagements': 3519, 'clicks': 2281, 'conversions': 164, 'engagement_rate': 0.021939860218338707, 'click_through_rate': 0.014221318885487522, 'conversion_rate': 0.07189829022358615, 'campaign_id': 'C014', 'campaign_type': np.str_('Crisis Management'), 'budget': 30761.1, 'roi': -49.0, 'effectiveness_score': 13.7}","{'likes': 1491, 'shares': 682, 'comments': 1036, 'saves': 256}","{'positive': 0.616, 'neutral': 0.339, 'negative': 0.045, 'sentiment_score': 0.571}","{'media_mentions': 13, 'earned_media_value': 16423.36, 'share_of_voice': 0.198}","{'awareness_lift': 5.5, 'favorability_change': 5.8, 'purchase_intent_increase': 16.3}","{'total_value_generated': 15687.31, 'roi_percentage': -49.0, 'effectiveness_score': 13.7}"
C015,Campaign 15: CSR Initiative,CSR Initiative,Manage Reputation,17653.82,2025-10-30 12:29:37.591563,2025-11-29 12:29:37.591563,30,"[np.str_('Content Marketing'), np.str_('Paid Ads'), np.str_('Events')]","{'age_min': np.int64(45), 'age_max': np.int64(60), 'gender': np.str_('Mixed'), 'income': np.str_('All')}","{'primary_message': np.str_('Informational'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Weekly')}","{'reach': 67965, 'impressions': 299485, 'engagements': 7155, 'clicks': 2562, 'conversions': 222, 'engagement_rate': 0.023891012905487754, 'click_through_rate': 0.00855468554351637, 'conversion_rate': 0.08665105386416862, 'campaign_id': 'C015', 'campaign_type': np.str_('CSR Initiative'), 'budget': 17653.82, 'roi': 63.0, 'effectiveness_score': 33.7}","{'likes': 4611, 'shares': 836, 'comments': 2206, 'saves': 912}","{'positive': 0.663, 'neutral': 0.337, 'negative': 0.0, 'sentiment_score': 0.662}","{'media_mentions': 13, 'earned_media_value': 23779.2, 'share_of_voice': 0.248}","{'awareness_lift': 16.1, 'favorability_change': 1.2, 'purchase_intent_increase': 10.5}","{'total_value_generated': 28773.09, 'roi_percentage': 63.0, 'effectiveness_score': 33.7}"
C016,Campaign 16: Crisis Management,Crisis Management,Manage Reputation,14591.62,2025-10-21 12:29:37.594143,2025-11-20 12:29:37.594143,30,"[np.str_('Social Media'), np.str_('Events'), np.str_('Influencer')]","{'age_min': np.int64(35), 'age_max': np.int64(45), 'gender': np.str_('Female'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Informational'), 'tone': np.str_('Friendly'), 'frequency': np.str_('Bi-weekly')}","{'reach': 54533, 'impressions': 156337, 'engagements': 3695, 'clicks': 2515, 'conversions': 136, 'engagement_rate': 0.023634840121020614, 'click_through_rate': 0.016087042734605372, 'conversion_rate': 0.054075546719681906, 'campaign_id': 'C016', 'campaign_type': np.str_('Crisis Management'), 'budget': 14591.62, 'roi': 22.7, 'effectiveness_score': 23.1}","{'likes': 2515, 'shares': 898, 'comments': 1141, 'saves': 353}","{'positive': 0.542, 'neutral': 0.275, 'negative': 0.182, 'sentiment_score': 0.36}","{'media_mentions': 19, 'earned_media_value': 21021.44, 'share_of_voice': 0.056}","{'awareness_lift': 16.2, 'favorability_change': 7.8, 'purchase_intent_increase': 14.1}","{'total_value_generated': 17900.99, 'roi_percentage': 22.7, 'effectiveness_score': 23.1}"
C017,Campaign 17: Product Launch,Product Launch,Manage Reputation,24758.43,2025-11-07 12:29:37.595002,2025-12-07 12:29:37.595002,30,"[np.str_('Website'), np.str_('PR'), np.str_('Content Marketing'), np.str_('Influencer')]","{'age_min': np.int64(35), 'age_max': np.int64(59), 'gender': np.str_('Mixed'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Humorous'), 'frequency': np.str_('Monthly')}","{'reach': 54024, 'impressions': 235731, 'engagements': 10511, 'clicks': 5940, 'conversions': 397, 'engagement_rate': 0.04458895944954206, 'click_through_rate': 0.025198213217608206, 'conversion_rate': 0.06683501683501683, 'campaign_id': 'C017', 'campaign_type': np.str_('Product Launch'), 'budget': 24758.43, 'roi': 24.5, 'effectiveness_score': 27.7}","{'likes': 7188, 'shares': 2235, 'comments': 3234, 'saves': 664}","{'positive': 0.797, 'neutral': 0.317, 'negative': -0.113, 'sentiment_score': 0.91}","{'media_mentions': 16, 'earned_media_value': 8638.93, 'share_of_voice': 0.228}","{'awareness_lift': 12.4, 'favorability_change': -3.7, 'purchase_intent_increase': 13.3}","{'total_value_generated': 30824.07, 'roi_percentage': 24.5, 'effectiveness_score': 27.7}"
C018,Campaign 18: CSR Initiative,CSR Initiative,Manage Reputation,29224.38,2025-09-28 12:29:37.598847,2025-10-28 12:29:37.598847,30,"[np.str_('Paid Ads'), np.str_('Social Media'), np.str_('Email'), np.str_('Content Marketing')]","{'age_min': np.int64(35), 'age_max': np.int64(48), 'gender': np.str_('Mixed'), 'income': np.str_('High')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Daily')}","{'reach': 70496, 'impressions': 313580, 'engagements': 11100, 'clicks': 3973, 'conversions': 547, 'engagement_rate': 0.03539766566745328, 'click_through_rate': 0.012669813125837107, 'conversion_rate': 0.1376793355147244, 'campaign_id': 'C018', 'campaign_type': np.str_('CSR Initiative'), 'budget': 29224.38, 'roi': 134.4, 'effectiveness_score': 42.3}","{'likes': 6231, 'shares': 1911, 'comments': 3041, 'saves': 1634}","{'positive': 0.462, 'neutral': 0.194, 'negative': 0.344, 'sentiment_score': 0.118}","{'media_mentions': 19, 'earned_media_value': 13355.87, 'share_of_voice': 0.202}","{'awareness_lift': 7.9, 'favorability_change': 7.6, 'purchase_intent_increase': 9.0}","{'total_value_generated': 68498.1, 'roi_percentage': 134.4, 'effectiveness_score': 42.3}"
C019,Campaign 19: Product Launch,Product Launch,Engage Audience,41171.08,2025-11-21 12:29:37.600185,2025-12-21 12:29:37.600185,30,"[np.str_('Content Marketing'), np.str_('Influencer'), np.str_('Website')]","{'age_min': np.int64(25), 'age_max': np.int64(49), 'gender': np.str_('Female'), 'income': np.str_('All')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Professional'), 'frequency': np.str_('Bi-weekly')}","{'reach': 75804, 'impressions': 294074, 'engagements': 11592, 'clicks': 5470, 'conversions': 289, 'engagement_rate': 0.039418649727619576, 'click_through_rate': 0.01860076035283636, 'conversion_rate': 0.05283363802559415, 'campaign_id': 'C019', 'campaign_type': np.str_('Product Launch'), 'budget': 41171.08, 'roi': -16.4, 'effectiveness_score': 24.3}","{'likes': 5073, 'shares': 2998, 'comments': 4601, 'saves': 664}","{'positive': 0.699, 'neutral': 0.307, 'negative': -0.006, 'sentiment_score': 0.706}","{'media_mentions': 12, 'earned_media_value': 22567.78, 'share_of_voice': 0.187}","{'awareness_lift': 21.1, 'favorability_change': 11.6, 'purchase_intent_increase': 2.8}","{'total_value_generated': 34404.96, 'roi_percentage': -16.4, 'effectiveness_score': 24.3}"
C020,Campaign 20: Brand Awareness,Brand Awareness,Drive Sales,31436.58,2025-10-12 12:29:37.601325,2025-11-11 12:29:37.601325,30,"[np.str_('PR'), np.str_('Email'), np.str_('Events'), np.str_('Social Media')]","{'age_min': np.int64(18), 'age_max': np.int64(38), 'gender': np.str_('Male'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Humorous'), 'frequency': np.str_('Weekly')}","{'reach': 57826, 'impressions': 155735, 'engagements': 4483, 'clicks': 2611, 'conversions': 254, 'engagement_rate': 0.02878607891610749, 'click_through_rate': 0.016765659614088033, 'conversion_rate': 0.09728073535044045, 'campaign_id': 'C020', 'campaign_type': np.str_('Brand Awareness'), 'budget': 31436.58, 'roi': -21.9, 'effectiveness_score': 20.2}","{'likes': 1968, 'shares': 1118, 'comments': 1306, 'saves': 372}","{'positive': 0.738, 'neutral': 0.372, 'negative': -0.11, 'sentiment_score': 0.849}","{'media_mentions': 14, 'earned_media_value': 7321.81, 'share_of_voice': 0.22}","{'awareness_lift': 15.9, 'favorability_change': 6.0, 'purchase_intent_increase': 4.6}","{'total_value_generated': 24553.08, 'roi_percentage': -21.9, 'effectiveness_score': 20.2}"
